plant_id,kind,months,note
"black-pine","foliage","3|4","Spring 'candles' (new shoots)."
"flowering-cherry","bloom","3|4","Pink double blossoms in spring."
"wisteria","bloom","3|4","Cascading lavender racemes."
"azalea","bloom","3|4|5","Mass of pink to magenta flowers."
"japanese-camellia","bloom","12|1|2|3","Winter into early spring."
"sasanqua-camellia","bloom","10|11|12","Autumn-flowering camellia."
"japanese-magnolia","bloom","3|4","Purple goblet-shaped flowers."
"japanese-maple","foliage","10|11","Crimson-orange fall color."
"madake-bamboo","foliage","3|4","Edible spring shoots."
"golden-bamboo","foliage","","Evergreen year-round."
"broad-leaf-bamboo","foliage","","Evergreen groundcover."
"camphor","bloom","4|5","Tiny cream flowers; aromatic foliage."
"crape-myrtle","bloom","7|8|9","Long summer flower panicles."
"fortnight-lily","bloom","3|4|5|6|7|8|9|10","Recurring waves of iris-like flowers."
"dwarf-mondo","bloom","7|8","Small lavender flower spikes; blue berries in autumn."
"evergreen-pear","bloom","2|3","Clouds of white blossoms in late winter."
"miniature-juniper","foliage","","Evergreen mat."
"japanese-holly","fruit","11|12|1","Black berries in late autumn."
"japanese-pittosporum","bloom","4|5","Fragrant cream flowers."
"japanese-elm","foliage","10|11","Yellow autumn color."
"donated-persimmon","fruit","10|11","Bright orange fruit in autumn."
"baran","foliage","","Glossy evergreen foliage."
"leather-fern","foliage","","Evergreen fronds."
"cedar","foliage","","Year-round evergreen."
"false-heather","bloom","3|4|5|6|7|8|9|10","Tiny lavender flowers nearly year-round."
"sprenger-asparagus","bloom","5|6","Small white flowers, then red berries."
"pomegranate","bloom","5|6|7|8","Vivid orange flowers; fruit by autumn."
"heavenly-bamboo","fruit","11|12|1|2","Crimson winter berries."
"redwood","foliage","","Year-round evergreen backdrop."
"indian-hawthorne","bloom","3|4","Pink-white spring flowers."
"lilyturf","bloom","7|8|9","Slender purple flower spikes."
"creeping-periwinkle","bloom","3|4|5","Violet-blue spring flowers."
"old-gold-juniper","foliage","4|5","Bright golden new growth in spring."
"golden-rain-tree","bloom","6|7|8","Cascades of yellow summer flowers."
"victorian-box","bloom","3|4|5","Fragrant cream flowers."
"dwarf-sacred-bamboo","fruit","11|12|1|2","Crimson winter foliage and berries."
